group,label,kind,anchor,features,spacing_rmse_mean,spacing_rmse_median,spacing_rmse_pooled,collision_free_frac,n_railed,railed,diff_vs_baseline_mean,diff_vs_baseline_median,ci_lo,ci_hi,wilcoxon_p,phase_win_frac,noninferior,obj_star,n_eval,elapsed_s
baseline,sample-spacing,sample,-,,3.6933633521154916,3.6024716762719304,3.9483007155402143,1.0,2,v0@hi|b@lo,,,,,,,,5.068592299700449,4575,553.18
reference,"PELT+ | {s_end,dist,phase_speed_ols}",phase,PELT+,"{s_end,dist,phase_speed_ols}",3.1773543906537958,2.8114749740241645,3.5970981339652552,1.0,3,v0@hi|T@lo|b@lo,-0.516008961461696,-0.7092029384599345,-1.132036929471463,0.12197140755920735,0.17685317993164062,0.65,True,27.639385214092208,4575,631.95
feature,{s_end},phase,PELT+,{s_end},3.1799509190404533,2.8242008929898113,3.598821517141677,1.0,3,v0@hi|T@lo|b@lo,-0.5134124330750388,-0.6968088401429761,-1.1259230739846302,0.12231522671673356,0.17685317993164062,0.65,True,24.006196232417906,4575,549.99
feature,"{s_end,dist}",phase,PELT+,"{s_end,dist}",3.1794425341224892,2.819013861211594,3.5990172434594423,1.0,3,v0@hi|T@lo|b@lo,-0.5139208179930025,-0.6993247728276565,-1.1282771668290144,0.12303431249987161,0.17685317993164062,0.65,True,24.819706310241212,4575,578.66
feature,"{s_end,phase_speed_ols}",phase,PELT+,"{s_end,phase_speed_ols}",3.177534110722614,2.8104864249558226,3.5978638168192623,1.0,3,v0@hi|T@lo|b@lo,-0.5158292413928781,-0.7087882590564849,-1.1326333832307882,0.12350906874737205,0.17685317993164062,0.65,True,26.829433476743297,4575,589.56
feature,{v_end},phase,PELT+,{v_end},3.6445999336398223,3.5274376765239595,3.9003960586715847,1.0,2,b@lo|s0@lo,-0.04876341847566927,-0.03388794956999952,-0.17300465009049745,0.07627107323953804,0.4523754119873047,0.55,True,2.952121675553568,4500,541.08
feature,"{v_end,s_end}",phase,PELT+,"{v_end,s_end}",3.1775748141271456,2.816367321762738,3.5959230147223398,1.0,3,v0@hi|T@lo|b@lo,-0.5157885379883462,-0.7068435996021131,-1.129347691986176,0.1192594169369701,0.17685317993164062,0.65,True,27.266663689181883,4575,551.13
feature,"{v_end,s_end,dist,phase_speed_ols}",phase,PELT+,"{v_end,s_end,dist,phase_speed_ols}",3.176472609974067,2.8099979003880105,3.595603327267435,1.0,3,v0@hi|T@lo|b@lo,-0.5168907421414249,-0.714563548731574,-1.1320212622250665,0.11930678449530098,0.16495704650878906,0.65,True,30.879448208333976,4575,629.23
feature,"{s_end,dist,phase_speed_ols,duration}",phase,PELT+,"{s_end,dist,phase_speed_ols,duration}",3.1773543906537958,2.8114749740241645,3.5970981339652552,1.0,3,v0@hi|T@lo|b@lo,-0.516008961461696,-0.7092029384599345,-1.132036929471463,0.12197140755920735,0.17685317993164062,0.65,True,27.639385214092208,4575,632.07
anchor,uniform-K,phase,uniform-K,"{s_end,dist,phase_speed_ols}",3.1795914623752752,2.822362458523492,3.5985644024429613,1.0,3,v0@hi|T@lo|b@lo,-0.5137718897402177,-0.6982691682182081,-1.1268226689715732,0.12169072478812328,0.17685317993164062,0.65,True,28.710354402222844,4575,627.63
anchor,random-K,phase,random-K,"{s_end,dist,phase_speed_ols}",3.184003388388262,2.8044133255757093,3.613280565989378,1.0,3,v0@hi|T@lo|b@lo,-0.5093599637272297,-0.693728638367194,-1.1460796730517528,0.14858772828373307,0.1893482208251953,0.65,True,24.999064313108764,4575,619.67
