dataset,src,run,follower,leader,lane,dt,units,t_start,t_end,duration_s,n_points,is_av_follower,mean_speed,min_gap,mean_gap,max_gap,length_imputed,n_missing_frames,max_gap_frames,coverage,n_collision_frames,split,path
ngsim,final_I80_trajectories-0500pm-0515pm,final_I80_trajectories-0500pm-0515pm,755,751,3.0,0.1,ft,134.4,209.3,74.9,750,False,19.68507100077067,8.67904799999983,41.237964489973336,94.02825057999998,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0500pm-0515pm_runfinal_I80_trajectories-0500pm-0515pm_f755_l751_00001.csv
ngsim,final_I80_trajectories-0515pm-0530pm,final_I80_trajectories-0515pm-0530pm,252,265,5.0,0.1,ft,146.3,230.4,84.1,842,False,17.87590294159739,27.06889229999997,60.25434958832542,114.16038899999985,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0515pm-0530pm_runfinal_I80_trajectories-0515pm-0530pm_f252_l265_00002.csv
ngsim,final_I80_trajectories-0515pm-0530pm,final_I80_trajectories-0515pm-0530pm,620,610,6.0,0.1,ft,299.8,356.3,56.5,566,False,16.93974132866431,7.257498000000123,20.132878616431096,36.55412099999985,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0515pm-0530pm_runfinal_I80_trajectories-0515pm-0530pm_f620_l610_00003.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,903,875,3.0,0.1,ft,255.8,314.70000000000005,58.900000000000034,590,False,25.21513828044068,30.704288800000008,44.31038094711865,58.12724900000021,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f903_l875_00004.csv
ngsim,final_I80_trajectories-0515pm-0530pm,final_I80_trajectories-0515pm-0530pm,903,898,4.0,0.1,ft,345.5,436.0,90.5,906,False,16.95615207231788,17.362399100000015,31.3443429298234,49.15981899999993,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0515pm-0530pm_runfinal_I80_trajectories-0515pm-0530pm_f903_l898_00005.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,2308,2301,2.0,0.1,ft,682.8000000000001,747.8000000000001,65.0,651,False,23.618871428801846,7.511120890000008,24.62425498184332,40.78330480000003,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f2308_l2301_00006.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,2118,2107,6.0,0.1,ft,630.8000000000001,696.8000000000001,66.0,661,False,22.053330548836612,17.789853399999924,40.12433155673222,104.1545789,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f2118_l2107_00007.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,2774,2775,2.0,0.1,ft,768.0,827.7,59.700000000000045,598,False,17.824543767003348,15.324617400000033,39.692423903678936,76.63170499999997,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f2774_l2775_00008.csv
ngsim,final_I80_trajectories-0515pm-0530pm,final_I80_trajectories-0515pm-0530pm,69,59,6.0,0.1,ft,62.400000000000006,132.4,70.0,701,False,8.363196990771755,7.933268199999997,18.799471532667614,39.355980600000024,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0515pm-0530pm_runfinal_I80_trajectories-0515pm-0530pm_f69_l59_00009.csv
ngsim,final_I80_trajectories-0500pm-0515pm,final_I80_trajectories-0500pm-0515pm,844,837,5.0,0.1,ft,173.4,225.3,51.900000000000006,520,False,29.815390817615384,30.560362000000122,72.37604043401925,102.39861050000009,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0500pm-0515pm_runfinal_I80_trajectories-0500pm-0515pm_f844_l837_00010.csv
ngsim,final_I80_trajectories-0515pm-0530pm,final_I80_trajectories-0515pm-0530pm,844,836,3.0,0.1,ft,335.70000000000005,416.40000000000003,80.69999999999999,808,False,14.771392339735149,9.41269749999999,44.40693000519803,97.24478749999999,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0515pm-0530pm_runfinal_I80_trajectories-0515pm-0530pm_f844_l836_00011.csv
ngsim,final_I80_trajectories-0500pm-0515pm,final_I80_trajectories-0500pm-0515pm,1115,1108,3.0,0.1,ft,276.90000000000003,364.5,87.59999999999997,877,False,17.525136428017102,10.32683209999991,29.598474593272524,46.320361700000014,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0500pm-0515pm_runfinal_I80_trajectories-0500pm-0515pm_f1115_l1108_00012.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,2257,2252,3.0,0.1,ft,666.1,724.0,57.89999999999998,580,False,20.374970764431033,28.493119100000012,65.12548863318965,138.9834069,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f2257_l2252_00013.csv
ngsim,final_I80_trajectories-0500pm-0515pm,final_I80_trajectories-0500pm-0515pm,929,916,2.0,0.1,ft,190.60000000000002,258.3,67.69999999999999,678,False,22.257469204613567,21.810452099999974,74.51732523268437,131.17110799999995,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0500pm-0515pm_runfinal_I80_trajectories-0500pm-0515pm_f929_l916_00014.csv
ngsim,final_I80_trajectories-0500pm-0515pm,final_I80_trajectories-0500pm-0515pm,882,876,3.0,0.1,ft,199.0,250.10000000000002,51.10000000000002,512,False,18.012970372646485,5.377149099999951,21.98360786503906,39.84831800000002,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0500pm-0515pm_runfinal_I80_trajectories-0500pm-0515pm_f882_l876_00015.csv
ngsim,final_I80_trajectories-0515pm-0530pm,final_I80_trajectories-0515pm-0530pm,582,573,6.0,0.1,ft,287.90000000000003,343.1,55.19999999999999,553,False,17.300575950940324,1.5674849999999871,37.013810273598544,65.31845030000007,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0515pm-0530pm_runfinal_I80_trajectories-0515pm-0530pm_f582_l573_00016.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,479,470,4.0,0.1,ft,163.3,219.5,56.19999999999999,563,False,26.216092713403196,15.025147400000048,45.508477459538184,90.6055370000001,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f479_l470_00017.csv
ngsim,final_I80_trajectories-0500pm-0515pm,final_I80_trajectories-0500pm-0515pm,1329,1323,4.0,0.1,ft,398.3,459.0,60.69999999999999,608,False,13.202673950894736,17.591765000000077,26.134119859046052,35.01598929999996,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0500pm-0515pm_runfinal_I80_trajectories-0500pm-0515pm_f1329_l1323_00018.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,1157,1149,2.0,0.1,ft,319.70000000000005,377.1,57.39999999999998,575,False,26.29476179229565,12.10977100000009,53.38440121791304,100.81398689999999,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f1157_l1149_00019.csv
ngsim,final_I80_trajectories-0515pm-0530pm,final_I80_trajectories-0515pm-0530pm,1157,1150,6.0,0.1,ft,444.40000000000003,504.5,60.099999999999966,602,False,25.735060589501664,13.873646999999982,38.656268807126246,60.642618000000176,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0515pm-0530pm_runfinal_I80_trajectories-0515pm-0530pm_f1157_l1150_00020.csv
ngsim,final_I80_trajectories-0515pm-0530pm,final_I80_trajectories-0515pm-0530pm,1416,1409,3.0,0.1,ft,520.0,604.1,84.10000000000002,842,False,18.343752906608078,10.137964599999986,24.398594323847973,53.137448599999985,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0515pm-0530pm_runfinal_I80_trajectories-0515pm-0530pm_f1416_l1409_00021.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,103,89,6.0,0.1,ft,42.7,106.4,63.7,638,False,21.572261672479623,11.235302900000004,57.685218623103445,95.05763999999995,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f103_l89_00022.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,2128,2122,2.0,0.1,ft,637.7,705.4000000000001,67.70000000000005,678,False,21.85132783778466,9.894665400000019,53.151023827654875,134.32483363999998,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f2128_l2122_00023.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,1126,1122,4.0,0.1,ft,322.20000000000005,383.90000000000003,61.69999999999999,618,False,25.25572968639482,5.441655000000036,26.827831927281554,76.83840300000001,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f1126_l1122_00024.csv
ngsim,final_I80_trajectories-0500pm-0515pm,final_I80_trajectories-0500pm-0515pm,1972,1945,2.0,0.1,ft,652.0,719.4000000000001,67.40000000000009,675,False,7.829382946343704,11.125858999999945,23.885463112592593,62.72597399999991,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0500pm-0515pm_runfinal_I80_trajectories-0500pm-0515pm_f1972_l1945_00025.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,396,392,4.0,0.1,ft,140.20000000000002,194.60000000000002,54.400000000000006,545,False,28.82907209906422,11.845389000000159,29.173525081651373,44.26601679999997,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f396_l392_00026.csv
ngsim,final_I80_trajectories-0500pm-0515pm,final_I80_trajectories-0500pm-0515pm,396,397,2.0,0.1,ft,21.8,81.2,59.400000000000006,595,False,25.85999729742857,12.033091500000022,26.20450371820168,44.198667999999955,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0500pm-0515pm_runfinal_I80_trajectories-0500pm-0515pm_f396_l397_00027.csv
ngsim,final_I80_trajectories-0515pm-0530pm,final_I80_trajectories-0515pm-0530pm,396,387,5.0,0.1,ft,211.0,271.3,60.30000000000001,604,False,20.826127450115894,31.472839499999974,56.87993696953643,99.32891300000001,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0515pm-0530pm_runfinal_I80_trajectories-0515pm-0530pm_f396_l387_00028.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,1525,1521,2.0,0.1,ft,460.3,513.4,53.099999999999966,532,False,23.21206464505639,12.9555021,26.47878104417293,57.5858479999999,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f1525_l1521_00029.csv
ngsim,final_I80_trajectories-0500pm-0515pm,final_I80_trajectories-0500pm-0515pm,1525,1520,5.0,0.1,ft,437.1,509.6,72.5,726,False,18.000601886151514,28.380514599999948,54.61671752632232,95.35455400000009,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0500pm-0515pm_runfinal_I80_trajectories-0500pm-0515pm_f1525_l1520_00030.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,2122,2113,2.0,0.1,ft,633.3000000000001,703.5,70.19999999999993,703,False,21.631993453719772,9.074738999999976,45.80080765876245,81.34311468,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f2122_l2113_00031.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,2394,2384,3.0,0.1,ft,739.1,789.7,50.60000000000002,507,False,18.236655310061145,16.727476999999862,54.251664196646956,109.979358,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f2394_l2384_00032.csv
ngsim,final_I80_trajectories-0500pm-0515pm,final_I80_trajectories-0500pm-0515pm,2001,1990,2.0,0.1,ft,598.9,735.1,136.20000000000005,1363,False,11.337465363866471,3.532341799999994,21.847932602626557,49.112422600000016,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0500pm-0515pm_runfinal_I80_trajectories-0500pm-0515pm_f2001_l1990_00033.csv
ngsim,final_I80_trajectories-0515pm-0530pm,final_I80_trajectories-0515pm-0530pm,779,769,3.0,0.1,ft,335.6,407.6,72.0,721,False,13.65343068120943,11.525250800000048,38.173662724826634,78.39023000000016,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0515pm-0530pm_runfinal_I80_trajectories-0515pm-0530pm_f779_l769_00034.csv
ngsim,final_I80_trajectories-0400pm-0415pm,final_I80_trajectories-0400pm-0415pm,13,15,4.0,0.1,ft,13.200000000000001,97.60000000000001,84.4,845,False,17.361325209105328,11.734895799999958,32.77551960137278,56.56988299999985,False,0,0,1.0,0,train,train/ngsim_final_I80_trajectories-0400pm-0415pm_runfinal_I80_trajectories-0400pm-0415pm_f13_l15_00035.csv
