dataset,src,run,follower_position,leader_position,follower_make,leader_make,follower_maker,leader_maker,distance_setting,acc_engaged,is_av_follower,is_av_leader,date_raw,dt,units,t_start,t_end,duration_s,n_points,mean_speed,min_gap,mean_gap,max_gap,leader_length,trimmed_standstill,path,pair_id
openacc,ASta_040719_platoon10,040719_platoon10,2,1,Audi A6,Audi A8,Audi,Audi,none,False,False,True,4/7/2019,0.1,m,1.0,1244.2000000000012,1243.2000000000012,12433,18.46598664613217,4.092625663240061,41.113938351681824,100.1522089319816,0.0,False,oa_cf_pairs/oa_pair_040719_platoon10_f2_Audi_A6.csv,040719_platoon10_f2
openacc,ASta_040719_platoon10,040719_platoon10,3,2,BMW X5,Audi A6,BMW,Audi,none,False,False,False,4/7/2019,0.1,m,1.0,1244.2000000000012,1243.2000000000012,12433,18.464436535676167,2.0003058022347173,39.98244090641635,89.31463745294167,0.0,False,oa_cf_pairs/oa_pair_040719_platoon10_f3_BMW_X5.csv,040719_platoon10_f3
openacc,ASta_040719_platoon10,040719_platoon10,4,3,Mercedes AClass,BMW X5,Mercedes,BMW,none,False,False,False,4/7/2019,0.1,m,1.0,1244.2000000000012,1243.2000000000012,12433,18.465792077325446,1.679757668138076,26.58153444859466,57.368555334628155,0.0,False,oa_cf_pairs/oa_pair_040719_platoon10_f4_Mercedes_AClass.csv,040719_platoon10_f4
openacc,ASta_040719_platoon10,040719_platoon10,5,4,Tesla Model3,Mercedes AClass,Tesla,Mercedes,none,False,False,False,4/7/2019,0.1,m,1.0,1244.2000000000012,1243.2000000000012,12433,18.460211224327864,1.6336742094979,37.426338139851644,110.87605779056923,0.0,False,oa_cf_pairs/oa_pair_040719_platoon10_f5_Tesla_Model3.csv,040719_platoon10_f5
openacc,ASta_040719_platoon3,040719_platoon3,2,1,Tesla Model3,Audi A8,Tesla,Audi,none,False,False,True,4/7/2019,0.1,m,1.0,1577.9000000000017,1576.9000000000017,15770,18.215735141791736,3.4633797588862683,46.023496169928855,124.49801661948464,0.0,False,oa_cf_pairs/oa_pair_040719_platoon3_f2_Tesla_Model3.csv,040719_platoon3_f2
openacc,ASta_040719_platoon3,040719_platoon3,3,2,BMW X5,Tesla Model3,BMW,Tesla,none,False,False,False,4/7/2019,0.1,m,1.0,1577.9000000000017,1576.9000000000017,15770,18.24649465514627,1.175757276837912,52.604499380238,81.40423679070007,0.0,False,oa_cf_pairs/oa_pair_040719_platoon3_f3_BMW_X5.csv,040719_platoon3_f3
openacc,ASta_040719_platoon3,040719_platoon3,4,3,Audi A6,BMW X5,Audi,BMW,none,False,False,False,4/7/2019,0.1,m,1.0,1577.9000000000017,1576.9000000000017,15770,18.26451056625135,3.904990638450212,54.77187556918221,99.864320944766,0.0,False,oa_cf_pairs/oa_pair_040719_platoon3_f4_Audi_A6.csv,040719_platoon3_f4
openacc,ASta_040719_platoon3,040719_platoon3,5,4,Mercedes AClass,Audi A6,Mercedes,Audi,none,False,False,False,4/7/2019,0.1,m,1.0,1577.9000000000017,1576.9000000000017,15770,18.269040610071706,8.906190681836613,28.965231421689083,54.645378922279704,0.0,False,oa_cf_pairs/oa_pair_040719_platoon3_f5_Mercedes_AClass.csv,040719_platoon3_f5
openacc,ASta_040719_platoon4,040719_platoon4,2,1,Tesla Model3,Audi A8,Tesla,Audi,max,True,True,True,4/7/2019,0.1,m,1.0,1230.2,1229.2,12293,18.61853676104653,6.231100326232263,45.71619191709134,59.73889868224866,0.0,False,oa_cf_pairs/oa_pair_040719_platoon4_f2_Tesla_Model3.csv,040719_platoon4_f2
openacc,ASta_040719_platoon4,040719_platoon4,3,2,BMW X5,Tesla Model3,BMW,Tesla,max,True,True,True,4/7/2019,0.1,m,1.0,1230.2,1229.2,12293,18.650375700618646,3.2649937468257377,46.671067086968115,67.84230776038976,0.0,False,oa_cf_pairs/oa_pair_040719_platoon4_f3_BMW_X5.csv,040719_platoon4_f3
openacc,ASta_040719_platoon4,040719_platoon4,4,3,Audi A6,BMW X5,Audi,BMW,max,True,True,True,4/7/2019,0.1,m,1.0,1230.2,1229.2,12293,18.67770198620711,4.6097160488787186,66.15688726736062,96.6150210850238,0.0,False,oa_cf_pairs/oa_pair_040719_platoon4_f4_Audi_A6.csv,040719_platoon4_f4
openacc,ASta_040719_platoon4,040719_platoon4,5,4,Mercedes AClass,Audi A6,Mercedes,Audi,max,True,True,True,4/7/2019,0.1,m,1.0,1230.2,1229.2,12293,18.692957998840235,3.6317344147743937,44.992359119963176,72.50029076669186,0.0,False,oa_cf_pairs/oa_pair_040719_platoon4_f5_Mercedes_AClass.csv,040719_platoon4_f5
openacc,ASta_040719_platoon5,040719_platoon5,2,1,Audi A6,Audi A8,Audi,Audi,min,True,True,True,4/7/2019,0.1,m,1.0,1247.9,1246.9,12470,18.50337388961981,3.266260300191763,22.423908602175366,47.94950356063688,0.0,False,oa_cf_pairs/oa_pair_040719_platoon5_f2_Audi_A6.csv,040719_platoon5_f2
openacc,ASta_040719_platoon5,040719_platoon5,3,2,BMW X5,Audi A6,BMW,Audi,min,True,True,True,4/7/2019,0.1,m,1.0,1247.9,1246.9,12470,18.500301775012026,2.851159354888648,22.982440052176926,80.04314180142212,0.0,False,oa_cf_pairs/oa_pair_040719_platoon5_f3_BMW_X5.csv,040719_platoon5_f3
openacc,ASta_040719_platoon5,040719_platoon5,4,3,Mercedes AClass,BMW X5,Mercedes,BMW,min,True,True,True,4/7/2019,0.1,m,1.0,1247.9,1246.9,12470,18.499829198791097,1.7466910064893617,21.8274609039827,49.9321209644512,0.0,False,oa_cf_pairs/oa_pair_040719_platoon5_f4_Mercedes_AClass.csv,040719_platoon5_f4
openacc,ASta_040719_platoon5,040719_platoon5,5,4,Tesla Model3,Mercedes AClass,Tesla,Mercedes,min,True,True,True,4/7/2019,0.1,m,1.0,1247.9,1246.9,12470,18.492041134419086,1.4396351142549708,23.05695927867497,61.813157051432846,0.0,False,oa_cf_pairs/oa_pair_040719_platoon5_f5_Tesla_Model3.csv,040719_platoon5_f5
openacc,ASta_040719_platoon6,040719_platoon6,2,1,Audi A6,Audi A8,Audi,Audi,min,True,True,True,4/7/2019,0.1,m,1.0,1176.6,1175.6,11757,19.571566739608237,3.2641997793375688,23.262424132631626,41.072131541406385,0.0,False,oa_cf_pairs/oa_pair_040719_platoon6_f2_Audi_A6.csv,040719_platoon6_f2
openacc,ASta_040719_platoon6,040719_platoon6,3,2,BMW X5,Audi A6,BMW,Audi,min,True,True,True,4/7/2019,0.1,m,1.0,1176.6,1175.6,11757,19.571284848460834,3.300888260994986,22.96860048232355,41.2196035600052,0.0,False,oa_cf_pairs/oa_pair_040719_platoon6_f3_BMW_X5.csv,040719_platoon6_f3
openacc,ASta_040719_platoon6,040719_platoon6,4,3,Mercedes AClass,BMW X5,Mercedes,BMW,min,True,True,True,4/7/2019,0.1,m,1.0,1176.6,1175.6,11757,19.572506339477417,2.3282966871836703,22.736814590797543,47.028267315862934,0.0,False,oa_cf_pairs/oa_pair_040719_platoon6_f4_Mercedes_AClass.csv,040719_platoon6_f4
openacc,ASta_040719_platoon6,040719_platoon6,5,4,Tesla Model3,Mercedes AClass,Tesla,Mercedes,min,True,True,True,4/7/2019,0.1,m,1.0,1176.6,1175.6,11757,19.565096964813897,1.2350434468230986,23.16573730835145,48.90343290056174,0.0,False,oa_cf_pairs/oa_pair_040719_platoon6_f5_Tesla_Model3.csv,040719_platoon6_f5
openacc,ASta_040719_platoon7,040719_platoon7,2,1,Tesla Model3,Audi A8,Tesla,Audi,min,True,True,True,4/7/2019,0.1,m,1.0,923.6,922.6,9227,18.801410268882954,4.319805450345937,22.474709768437087,40.092073327097424,0.0,False,oa_cf_pairs/oa_pair_040719_platoon7_f2_Tesla_Model3.csv,040719_platoon7_f2
openacc,ASta_040719_platoon7,040719_platoon7,3,2,BMW X5,Tesla Model3,BMW,Tesla,min,True,True,True,4/7/2019,0.1,m,1.0,923.6,922.6,9227,18.806995893968462,2.3653389702995793,21.367425403080556,45.47544738655472,0.0,False,oa_cf_pairs/oa_pair_040719_platoon7_f3_BMW_X5.csv,040719_platoon7_f3
openacc,ASta_040719_platoon7,040719_platoon7,4,3,Audi A6,BMW X5,Audi,BMW,min,True,True,True,4/7/2019,0.1,m,1.0,923.6,922.6,9227,18.809050758968787,2.9111176612673866,23.413262559297063,55.78942919913501,0.0,False,oa_cf_pairs/oa_pair_040719_platoon7_f4_Audi_A6.csv,040719_platoon7_f4
openacc,ASta_040719_platoon7,040719_platoon7,5,4,Mercedes AClass,Audi A6,Mercedes,Audi,min,True,True,True,4/7/2019,0.1,m,1.0,923.6,922.6,9227,18.805202785581013,3.090168816636638,22.787073136394966,50.386276786519325,0.0,False,oa_cf_pairs/oa_pair_040719_platoon7_f5_Mercedes_AClass.csv,040719_platoon7_f5
openacc,ASta_040719_platoon8,040719_platoon8,2,1,Tesla Model3,Audi A8,Tesla,Audi,min,True,True,True,4/7/2019,0.1,m,1.0,944.5,943.5,9436,18.319183829885013,4.188490334855574,22.739147153940632,59.75459170322139,0.0,False,oa_cf_pairs/oa_pair_040719_platoon8_f2_Tesla_Model3.csv,040719_platoon8_f2
openacc,ASta_040719_platoon8,040719_platoon8,3,2,BMW X5,Tesla Model3,BMW,Tesla,min,True,True,True,4/7/2019,0.1,m,1.0,944.5,943.5,9436,18.32238596249852,1.2586996270115731,21.29973709326544,61.888446318072745,0.0,False,oa_cf_pairs/oa_pair_040719_platoon8_f3_BMW_X5.csv,040719_platoon8_f3
openacc,ASta_040719_platoon8,040719_platoon8,4,3,Audi A6,BMW X5,Audi,BMW,min,True,True,True,4/7/2019,0.1,m,1.0,944.5,943.5,9436,18.32772135314286,3.096123861807079,24.90296450009611,117.06383010333263,0.0,False,oa_cf_pairs/oa_pair_040719_platoon8_f4_Audi_A6.csv,040719_platoon8_f4
openacc,ASta_040719_platoon8,040719_platoon8,5,4,Mercedes AClass,Audi A6,Mercedes,Audi,min,True,True,True,4/7/2019,0.1,m,1.0,944.5,943.5,9436,18.324030486997135,2.3417426887348523,22.118937055541352,51.22532466701462,0.0,False,oa_cf_pairs/oa_pair_040719_platoon8_f5_Mercedes_AClass.csv,040719_platoon8_f5
openacc,ASta_040719_platoon9,040719_platoon9,2,1,Tesla Model3,Audi A8,Tesla,Audi,min,True,True,True,4/7/2019,0.1,m,1.0,906.4000000000008,905.4000000000008,9055,18.6740825505555,15.728031478210974,22.579918778525148,33.29800827823684,0.0,False,oa_cf_pairs/oa_pair_040719_platoon9_f2_Tesla_Model3.csv,040719_platoon9_f2
